,Rank,tag,name,badgeId,trophies,memberCount,trophies_normalized,member_count_normalized
134,134,#2YR0QGJ,Baile de Mono,8000023,1234341,30,0.06406361698066365,1.0
135,135,#2PVVC9C80,🌙Midnight,8000057,1233609,30,0.06315038294697617,1.0
136,136,#8GU8800V,🎭error⛄™Mx,8000029,1232209,30,0.061403760478175196,1.0
137,137,#2YLPVRYQ9,EduarKlub,8000018,1230751,30,0.059584777935666855,1.0
138,138,#R8J2Y0C8,⚜AllStars⚜,8000018,1227578,30,0.05562618286887733,1.0
139,139,#2QVGJ2CRG,CGS FAMILY,8000049,1226027,30,0.05369117469094142,1.0
140,140,#2GJU28VJ2,✨LUCIÉRNAGAS✨,8000049,1225331,30,0.052822853806451686,1.0
141,141,#2GJ909QLJ,ForgottenCrown,8000029,1224827,30,0.05219406971768348,1.0
142,142,#28LLQ28CJ,AK| Gaming🕷🌴,8000056,1224394,30,0.05165386433983277,1.0
143,143,#8P0CY9QJ,gay,8000025,1223100,30,0.05003948614366971,1.0
144,144,#20YQYGVUQ,FamiliaAxos,8000057,1221445,30,0.04797472886805143,1.0
145,145,#2LGVL2VJG,Mafia Brawl,8000007,1220757,30,0.047116388683383414,1.0
146,146,#YCC8PLJJ,mx team,8000057,1220605,30,0.04692675538677071,1.0
147,147,#2PV200JP9,Chivas,8000006,1219828,30,0.045957379916586216,1.0
148,148,#2JVLVRYQ9,ClubPenguin🐧,8000008,1219032,30,0.04496430028432519,1.0
149,149,#299CCRJLP,✨100✨Ł€G€ŇĐ,8000017,1218417,30,0.04419703398553043,1.0
150,150,#9G20YRPG,PROLATINO,8000048,1217481,30,0.04302929210638928,1.0
151,151,#28G929U0U,KIM VOM,8000037,1216895,30,0.04229820584444832,1.0
152,152,#2GCPR2Q82,LOS MÁSTERS :D,8000034,1216115,30,0.04132508761183051,1.0
153,153,#2QLG9JUGC,Club Mayas.💥,8000059,1215784,30,0.04091213615670686,1.0
154,154,#VV909C2Y,MXCLI VIBES☀️,8000037,1214912,30,0.03982423987613948,1.0
155,155,#JUPVJGQ2,Kings Of Desire,8000008,1214438,29,0.03923288341170261,0.8000000000000007
156,156,#2GJCC009Q,Compas club,8000037,1213969,30,0.03864776488465416,1.0
157,157,#2899YJ8U8,MEXICO🇲🇽,8000034,1213949,30,0.038622813135099854,1.0
158,158,#CCQP88QG,☠️Shoting Star☠,8000018,1213185,30,0.03766965630212571,1.0
159,159,#22CQLQ2GQ,Team Galaxy,8000025,1213129,30,0.03759979140337366,1.0
