tag,name,nameColor,icon,trophies,rank,club,normalized_trophies,normalized_rank
#202RGUPUG,☆FrankensteIn☆❤,0xffcb5aff,28000170,1199,95,Quant ESports🐾,0.3221476510067114,0.4723618090452261
#YY9PPLQL9,Yume𓅦,0xff4ddba2,28000149,1199,96,Cipher Pol,0.3221476510067114,0.4773869346733668
#8Y29YVV2C,れもん,0xffcb5aff,28000112,1199,97,おぱんちゅみせて,0.3221476510067114,0.4824120603015075
#20YJ9PLLV,ま|Shadows • 💫,0xffffffff,28000041,1199,98,what happened,0.3221476510067114,0.48743718592964824
#9QYQ9YJV9,Marveleetos,0xffff8afb,28000247,1199,99,HolyPower,0.3221476510067114,0.4924623115577889
#8LYQPLP29,🖤MKZ🖤,0xffffffff,28000032,1199,100,ᴅᴀɪʟʏ,0.3221476510067114,0.4974874371859296
#YCP0JCUQ,VD|Mo.D.Lufy🐣,0xff1ba5f5,28000065,1199,101,Beyond Kratos,0.3221476510067114,0.5025125628140703
#JGCCGY80,prostislavv,0xffff9727,28000042,1199,102,BOBR gaming,0.3221476510067114,0.507537688442211
#8LC808G,Tuyu,0xff1ba5f5,28000349,1199,103,@Tuyu_Official,0.3221476510067114,0.5125628140703518
#UYUUQQ8Q,대왕❦(光),0xffcb5aff,28000115,1199,104,<c1>BBOBBY</c>,0.3221476510067114,0.5175879396984925
#PLGJJJC2Q,L7L7,0xffffffff,28000048,1199,105,معتزل,0.3221476510067114,0.5226130653266331
#2LC0LQCRP,Evaツんﾌﾒ,0xff1ba5f5,28000241,1199,106,Brawl King's,0.3221476510067114,0.5276381909547738
#9GJPJUQGJ,Xorox❤️‍🩹Byrox,0xffcb5aff,28000273,1199,107,Tribe Turkey,0.3221476510067114,0.5326633165829145
#8Q2JCGP00,きゃんでぃ,0xff1ba5f5,28000014,1191,108,キングダム乱,0.2953020134228188,0.5376884422110553
#CJP08CU0,Uriel,0xffffffff,28000135,1187,109,Brawl King's,0.2818791946308723,0.542713567839196
#QRU0L0U,🐬ꜱᴏᴋʀᴀᴍ 🜲,0xff1ba5f5,28000201,1184,110,CONEXIÓN,0.27181208053691286,0.5477386934673367
#P22J8JP8,ZETA | BADBOY,0xffff9727,28000284,1180,111,No Mercy,0.25838926174496635,0.5527638190954773
#8URCLRY8,球隊|RoUND🌠,0xfff9c908,28000061,1180,112,My social media,0.25838926174496635,0.5577889447236181
#9J2JLUR8G,Aspect 🃏,0xffffffff,28000304,1178,113,7 Dwarves,0.2516778523489931,0.5628140703517588
#22PJGVJYJ,히치Luxito🥀,0xffffffff,28000321,1176,114,No Mercy,0.24496644295302028,0.5678391959798995
#20CJVQQYU,[₮₱] ₱ɆⱠ₳Ɖ₳Ø,0xffcb5aff,28000291,1173,115,★the Players★,0.2348993288590604,0.5728643216080402
#20JR92CYU,ice🖤sophia,0xffffffff,28000139,1172,116,NGGL,0.23154362416107377,0.5778894472361809
#2LY99YGP8,HJK┃エネ↯,0xffcb5aff,28000338,1172,117,<c2>エホヤキム</c>,0.23154362416107377,0.5829145728643216
#2UJQQ0YL,TOC,0xfff9c908,28000212,1170,118,anyway🤷🏻‍♂️,0.2248322147651005,0.5879396984924623
#CJV2PJ0R,SK | Yoshi,0xffcb5aff,28000135,1166,119,Yoshi Fans,0.21140939597315445,0.592964824120603
#V8JP99J0,ZKN|Fantas🦊,0xffffce89,28000014,1164,120,Monkey’s Island,0.2046979865771812,0.5979899497487438
#989L0928Q,L1S|Sufiyan❦,0xff1ba5f5,28000033,1161,121,IMMORTAL SOULS,0.1946308724832213,0.6030150753768844
#VCPJQQ,Jealous🤍Y,0xffffce89,28000196,1157,122,люблю даню<3💓,0.18120805369127524,0.6080402010050251
#9UG08PQUY,xSkywalker🦋ま,0xff1ba5f5,28000135,1155,123,Quant ESports🐾,0.17449664429530198,0.6130653266331658
#280RJ92JC,ExP |BloocK,0xfff9c908,28000242,1153,124,CONEXIÓN,0.16778523489932873,0.6180904522613065
#V2Q080UU,Valembeau💜,0xffcb5aff,28000035,1153,125,A Few Clown Men,0.16778523489932873,0.6231155778894473
#2P088J29C,Matt,0xffff8afb,28000333,1153,126,<c5>Just Us</c>,0.16778523489932873,0.6281407035175879
#9V9GQJG8,hobbit,0xffa8e132,28000005,1153,127,no-team-info,0.16778523489932873,0.6331658291457286
#2VQR2Y0G,Janky🦊,0xfff05637,28000272,1153,128,anomaly,0.16778523489932873,0.6381909547738693
#802VG829,LuRkz🩵Sq,0xffff8afb,28000014,1151,129,Demise 🥀,0.16107382550335547,0.6432160804020101
#YLV8CL0R,Astaaaa❤️‍🔥😈,0xff4ddba2,28000347,1151,130,Tribe Turkey,0.16107382550335547,0.6482412060301508
#L8J9JJVC,Across🦭,0xfff9c908,28000338,1151,131,INVICTOS 2,0.16107382550335547,0.6532663316582914
#URVJVRRQ,愛野美奈子💛✨,0xffff8afb,28000018,1149,132,してたんぽ,0.15436241610738266,0.6582914572864321
#2QU2RGLVC,밍밍아또죽냐 ☻,0xffffffff,28000000,1149,133,☻ Smile ☻ 2기,0.15436241610738266,0.6633165829145728
#29L028GQL,Djahsta,0xffff9727,28000306,1149,134,BC*|Family*,0.15436241610738266,0.6683417085427136
#QL9G8JR8C,KY,0xfff9c908,28000267,1149,135,<c5>ぽんみちょった</c>,0.15436241610738266,0.6733668341708543
#P2G8CUUPU,August🥷,0xffffffff,28000241,1149,136,BC*|Family*,0.15436241610738266,0.6783919597989949
#2UQVJP98Q,愛~ToastZ ↯,0xffffffff,28000314,1149,137,no-team-info,0.15436241610738266,0.6834170854271356
#2P0V0CQQ2,FG | Naipishu,0xffff8afb,28000034,1149,138,clover,0.15436241610738266,0.6884422110552764
#PQCQJ8L00,ĺastik💘,0xffffffff,28000153,1149,139,AFGM дагестан,0.15436241610738266,0.6934673366834171
#2PLVJ0GLV,Sniper🐙,0xffff9727,28000244,1149,140,Brawl Kings,0.15436241610738266,0.6984924623115578
#2G0PL0LRU,Axel🧸🍯,0xff1ba5f5,28000288,1149,141,You and me 💜,0.15436241610738266,0.7035175879396984
#2YVQ98Q8C,DF | Tory,0xff4ddba2,28000166,1145,142,Melody,0.14093959731543615,0.7085427135678392
#2QPJQ8QRQ,bagi,0xff1ba5f5,28000335,1137,143,Brawl King's,0.11409395973154357,0.7135678391959799
#9GVQQ2VJL,𝑳𝒊𝒈𝒉𝒕❦,0xffffffff,28000097,1137,144,Easy Ltda,0.11409395973154357,0.7185929648241206
#Q9YC0J0G9,Rusya🤍Bloodyハニ,0xfff9c908,28000004,1135,145,KingdomRush,0.10738255033557031,0.7236180904522613
#LUP0QRC8,L1S|D4NTE❦,0xffff9727,28000129,1134,146,Mini Me’s,0.10402684563758369,0.728643216080402
#220C002,서울대전동킥보드레이서쌈바우,0xffffffff,28000014,1133,147,SNU CLAN,0.1006711409395975,0.7336683417085427
#2PV9YRJUG,leciel Ke!ta🌟,0xffa2e3fe,28000234,1129,148,∞黄金のたまご∞ ♠️,0.08724832214765099,0.7386934673366834
#Y0JLQVQQ,THF|Lark,0xff1ba5f5,28000347,1128,149,Kiwithatgame,0.08389261744966436,0.7437185929648241
#QJQ0YPV,Danko,0xffff8afb,28000014,1128,150,no-team-info,0.08389261744966436,0.7487437185929648
#PQPR2GQGJ,MatCha✈️,0xffcb5aff,28000014,1126,151,HK瘋,0.07718120805369111,0.7537688442211056
#GRLUYG0R,NiceShøt 🌓,0xffcb5aff,28000347,1124,152,Ex0tic-E-Sport,0.0704697986577183,0.7587939698492462
#220PGLU02,家|𝑴𝒆𝒎𝒆𝒏ϟ,0xffa8e132,28000163,1121,153,You and me 💜,0.06040268456375841,0.7638190954773869
#J8YPGR,Twitch: Tobi,0xffcb5aff,28000000,1120,154,Brawl King's,0.057046979865771785,0.7688442211055276
#VP0CQCLV,Jin玄,0xffcb5aff,28000129,1119,155,RealDutch,0.05369127516778516,0.7738693467336684
#GVJ82JR8,Kazumi,0xffcb5aff,28000291,1118,156,Ex0tic-E-Sport,0.05033557046979853,0.7788944723618091
#QJULVGU,QLS | Edinho,0xff1ba5f5,28000194,1118,157,Ghost Team👻☔,0.05033557046979853,0.7839195979899497
#2P2URUV8G,Foncho,0xffcb5aff,28000209,1117,158,Dragon Chileno,0.0469798657718119,0.7889447236180904
#82C8R800R,原型の無い優しさが知りたい,0xffff8afb,28000138,1115,159,キングダム乱,0.04026845637583909,0.7939698492462312
#GRCYVRJG,Edgar🤍æ,0xffff9727,28000176,1114,160,7 Dwarves,0.03691275167785246,0.7989949748743719
#2PG00PG02,Jooja💜Ryo,0xff4ddba2,28000136,1113,161,no-team-info,0.033557046979865834,0.8040201005025126
#9P98UCUV,Eydan,0xffff8afb,28000247,1113,162,Beyond Champs,0.033557046979865834,0.8090452261306532
#LQVY9UPY,Neetn玄,0xff4ddba2,28000259,1109,163,RealDutch,0.020134228187919323,0.8140703517587939
#RC8GU2G,Ascend-.-,0xffcb5aff,28000014,1109,164,Havoc Echo,0.020134228187919323,0.8190954773869347
#PVQRLV090,ちぃずけぇき,0xff4ddba2,28000038,1109,165,ホワイトカンパニー,0.020134228187919323,0.8241206030150754
#C2CP8YG,∅∅∅∅∅∅∅,0xffffffff,28000038,1109,166,a<c,0.020134228187919323,0.8291457286432161
#VJUQ0Y,LG | Chino,0xff1ba5f5,28000322,1108,167,Havoc Echo,0.016778523489932695,0.8341708542713567
#GCJCRVQ8,tacos ☍,0xffff8afb,28000177,1108,168,NA Friends,0.016778523489932695,0.8391959798994975
#YY2908UG,v̷Strøng⛈️,0xffffffff,28000023,1107,169,LA Crystal,0.013422818791946511,0.8442211055276382
#9QC02VJV8,nyx1k?🤍ニックス,0xffffffff,28000137,1105,170,Lost Hell,0.006711409395973256,0.8492462311557789
